time,loc,locOrig
16-May-2021 16:11:00,"באר שבע","באר שבע - מזרח"
16-May-2021 16:10:00,"תל שבע","תל שבע"
16-May-2021 16:10:00,"עומר","עומר"
16-May-2021 16:06:00,"נחל עוז","נחל עוז"
16-May-2021 16:03:00,"יד מרדכי","יד מרדכי"
16-May-2021 16:03:00,"מבקיעים","מבקיעים"
16-May-2021 16:03:00,"כרמייה","כרמיה"
16-May-2021 16:03:00,"נתיב העשרה","נתיב העשרה"
16-May-2021 16:03:00,"אשקלון","אזור תעשייה הדרומי אשקלון"
16-May-2021 16:03:00,"זיקים","זיקים"
16-May-2021 16:03:00,"אשקלון","אשקלון"
16-May-2021 16:03:00,"בית עזרא","בית עזרא"
16-May-2021 16:03:00,"אשדוד","אשדוד - אזור תעשייה צפוני ונ"
16-May-2021 16:03:00,"ניצן","ניצן"
16-May-2021 16:03:00,"אשדוד","אשדוד - ג,ו,ז"
16-May-2021 16:03:00,"אשדוד","אשדוד - א,ב,ד,ה"
16-May-2021 16:03:00,"אשדוד","אשדוד - יא,יב,טו,יז,מרינה"
16-May-2021 16:02:00,"גן הדרום","גן הדרום"
16-May-2021 16:02:00,"שתולים","שתולים"
16-May-2021 16:02:00,"אשדוד","אזור תעשייה עד הלום"
16-May-2021 16:02:00,"שדה עוזיהו","שדה עוזיהו"
16-May-2021 16:02:00,"גן יבנה","גן יבנה"
16-May-2021 16:02:00,"אשדוד","אשדוד - ח,ט,י,יג,יד,טז"
16-May-2021 16:01:00,"בית עזרא","בית עזרא"
16-May-2021 16:01:00,"ניצן","ניצן"
16-May-2021 16:01:00,"עזר","עזר"
16-May-2021 16:01:00,"אמונים","אמונים"
16-May-2021 16:01:00,"עזריקם","עזריקם"
16-May-2021 16:01:00,"אשדוד","אשדוד - ח,ט,י,יג,יד,טז"
16-May-2021 16:01:00,"שפיר","שפיר"
16-May-2021 16:01:00,"משואות יצחק","משואות יצחק"
16-May-2021 16:01:00,"אביגדור","אביגדור"
16-May-2021 16:01:00,"עין צורים","עין צורים"
16-May-2021 16:01:00,"גבעתי","גבעתי"
16-May-2021 16:01:00,"מרכז שפירא","מרכז שפירא"
16-May-2021 16:01:00,"באר שבע","באר שבע - צפון"
16-May-2021 16:01:00,"באר שבע","באר שבע - מערב"
16-May-2021 16:01:00,"אשדוד","אזור תעשייה עד הלום"
16-May-2021 16:01:00,"קריית מלאכי","קריית מלאכי"
16-May-2021 16:01:00,"אורות","אורות"
16-May-2021 16:01:00,"כפר ורבורג","כפר ורבורג"
16-May-2021 16:01:00,"באר טוביה","באר טוביה"
16-May-2021 16:01:00,"כפר אחים","כפר אחים"
16-May-2021 16:01:00,"שדה עוזיהו","שדה עוזיהו"
16-May-2021 16:01:00,"שתולים","שתולים"
16-May-2021 16:01:00,"גן יבנה","גן יבנה"
16-May-2021 16:00:00,"באר גנים","באר גנים"
16-May-2021 16:00:00,"גיאה","גיאה"
16-May-2021 16:00:00,"בית שקמה","בית שקמה"
16-May-2021 16:00:00,"פטיש","פטיש"
16-May-2021 16:00:00,"אשקלון","אזור תעשייה צפוני אשקלון"
16-May-2021 16:00:00,"אורים","אורים"
